seq_name	length	#mapped_reads	#unmapped_reads
contig_614	51392	1540	0
contig_450	11578	1529	0
contig_115	54407	1302	0
contig_491	251358	1239	0
contig_601	155302	1212	0
contig_615	5293	981	0
contig_653	102618	917	0
contig_414	27557	903	0
contig_188	351605	784	0
contig_166	27710	765	0
contig_153	9326	760	0
contig_91	23351	736	0
contig_368	33350	707	0
contig_59	126556	674	0
contig_299	42562	646	0
contig_598	118797	643	0
contig_114	8648	641	0
contig_92	28632	572	0
contig_7	102531	536	0
contig_566	72757	479	0
contig_313	52263	477	0
contig_156	9427	469	0
contig_610	101241	462	0
contig_334	34757	451	0
contig_179	8786	441	0
contig_319	22562	431	0
contig_316	61009	429	0
contig_488	18803	424	0
contig_63	187259	420	0
contig_145	47864	417	0
contig_409	17995	404	0
contig_331	50347	391	0
contig_119	2075	390	0
contig_117	5432	390	0
contig_160	9106	387	0
contig_293	14339	385	0
contig_405	16607	365	0
contig_744	6053	361	0
contig_143	17570	361	0
contig_739	3533	349	0
contig_4	59775	342	0
contig_198	8696	337	0
contig_125	10227	321	0
contig_60	57887	320	0
contig_572	144006	319	0
contig_440	73517	319	0
contig_343	172865	318	0
contig_647	12169	309	0
contig_314	51697	309	0
contig_48	61156	308	0
contig_190	50671	308	0
contig_384	34830	306	0
contig_296	11349	305	0
contig_688	2731	300	0
contig_199	10062	298	0
contig_621	88101	292	0
contig_390	158790	286	0
contig_255	18836	281	0
contig_302	12564	276	0
contig_118	10804	276	0
contig_61	61215	271	0
contig_76	114916	270	0
contig_126	5296	264	0
contig_377	44960	259	0
contig_285	36089	258	0
contig_20	62943	256	0
contig_417	53766	255	0
contig_90	5504	248	0
contig_149	138067	245	0
contig_111	8149	243	0
contig_636	180833	242	0
contig_617	11661	242	0
contig_641	84818	240	0
contig_363	115250	239	0
contig_171	5866	237	0
contig_200	4504	236	0
contig_39	20086	228	0
contig_716	1148	227	0
contig_425	11766	227	0
contig_21	75457	226	0
contig_226	111013	222	0
contig_89	3938	219	0
contig_589	71271	219	0
contig_288	96698	219	0
contig_172	16703	218	0
contig_511	33406	216	0
contig_40	10837	213	0
contig_545	24526	210	0
contig_155	4225	209	0
contig_661	1194	206	0
contig_355	19244	203	0
contig_306	5930	203	0
contig_36	39520	202	0
contig_67	36708	200	0
contig_311	90476	199	0
contig_95	52412	198	0
contig_496	36395	197	0
contig_13	27787	196	0
contig_682	1291	195	0
contig_646	1894	194	0
contig_627	12343	185	0
contig_124	5079	184	0
contig_594	54398	183	0
contig_358	31629	182	0
contig_195	40433	182	0
contig_606	74392	179	0
contig_570	67565	179	0
contig_340	51701	179	0
contig_267	35824	179	0
contig_537	19271	178	0
contig_404	2838	178	0
contig_121	2343	177	0
contig_131	43646	173	0
contig_633	8502	172	0
contig_6	145204	172	0
contig_500	11884	172	0
contig_291	146164	172	0
contig_727	1707	171	0
contig_631	9930	171	0
contig_532	39004	170	0
contig_42	5093	169	0
contig_257	6959	169	0
contig_227	43113	167	0
contig_611	88811	166	0
contig_197	9192	166	0
contig_603	56920	165	0
contig_70	40055	162	0
contig_181	9839	162	0
contig_580	113877	160	0
contig_148	94403	160	0
contig_616	22545	157	0
contig_35	13729	157	0
contig_120	6964	156	0
contig_389	42582	155	0
contig_612	40152	154	0
contig_240	71475	152	0
contig_635	149312	151	0
contig_38	21795	151	0
contig_64	79325	150	0
contig_630	87323	150	0
contig_551	24599	149	0
contig_544	15187	149	0
contig_150	23328	148	0
contig_100	75300	147	0
contig_69	70711	146	0
contig_128	22207	146	0
contig_458	19818	143	0
contig_301	11366	143	0
contig_305	6103	139	0
contig_54	88972	138	0
contig_123	1666	138	0
contig_1	51699	136	0
contig_382	13693	135	0
contig_602	36633	134	0
contig_236	52054	134	0
contig_192	60967	132	0
contig_432	26014	131	0
contig_3	61446	131	0
contig_485	42647	129	0
contig_93	13233	128	0
contig_599	28392	128	0
contig_466	47454	128	0
contig_16	79562	128	0
contig_14	27963	128	0
contig_643	37533	126	0
contig_433	40303	125	0
contig_34	36369	125	0
contig_297	2320	125	0
contig_577	37579	124	0
contig_567	53650	124	0
contig_473	23495	124	0
contig_25	43822	124	0
contig_221	40664	124	0
contig_211	52005	124	0
contig_684	12187	122	0
contig_19	56889	122	0
contig_370	32146	121	0
contig_607	34205	120	0
contig_253	16270	119	0
contig_244	61057	119	0
contig_220	39033	119	0
contig_79	32003	118	0
contig_605	31565	117	0
contig_252	19425	117	0
contig_168	2131	116	0
contig_741	1317	114	0
contig_575	53272	114	0
contig_356	41451	114	0
contig_256	3343	114	0
contig_74	64227	113	0
contig_649	10892	113	0
contig_348	8886	113	0
contig_591	29472	112	0
contig_590	45088	112	0
contig_597	75475	109	0
contig_680	13416	108	0
contig_56	55700	108	0
contig_277	50183	108	0
contig_228	30795	108	0
contig_88	5028	107	0
contig_468	34557	107	0
contig_71	21432	106	0
contig_652	55811	106	0
contig_30	69320	105	0
contig_258	35668	104	0
contig_122	2901	104	0
contig_622	26894	103	0
contig_509	29065	103	0
contig_403	725	103	0
contig_660	3499	102	0
contig_212	31073	102	0
contig_339	48974	101	0
contig_246	47242	101	0
contig_670	15579	100	0
contig_379	52737	100	0
contig_11	51324	100	0
contig_482	41210	99	0
contig_401	39295	99	0
contig_31	67212	99	0
contig_720	1310	98	0
contig_402	582	98	0
contig_268	26027	98	0
contig_241	37949	98	0
contig_216	26630	98	0
contig_127	5231	98	0
contig_681	14140	97	0
contig_194	44834	96	0
contig_85	5630	95	0
contig_707	21342	95	0
contig_562	33856	95	0
contig_392	39519	95	0
contig_144	38099	95	0
contig_96	26659	94	0
contig_84	60946	94	0
contig_596	25272	94	0
contig_445	35090	94	0
contig_113	689	94	0
contig_449	3239	93	0
contig_437	56680	93	0
contig_250	34367	93	0
contig_353	47058	92	0
contig_33	48058	92	0
contig_57	92620	91	0
contig_526	25307	91	0
contig_516	22552	91	0
contig_350	41379	91	0
contig_663	1812	90	0
contig_295	4818	90	0
contig_223	19825	90	0
contig_219	26347	90	0
contig_569	39057	89	0
contig_484	77867	89	0
contig_86	7666	88	0
contig_271	13761	88	0
contig_261	36990	88	0
contig_560	26339	87	0
contig_373	62086	87	0
contig_320	45557	87	0
contig_260	16061	87	0
contig_94	1170	86	0
contig_703	1644	86	0
contig_639	38146	86	0
contig_581	35735	86	0
contig_578	54489	86	0
contig_531	18584	86	0
contig_431	22035	86	0
