#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_188	351605	8	N	N	1	*	*,188,*
contig_491	251358	8	N	N	1	*	*,491,*
contig_63	187259	6	N	N	1	*	*,63,*
contig_636	180833	5	N	N	1	*	*,636,*
contig_343	172865	5	N	N	1	*	*,343,*
contig_390	158790	5	N	N	1	*	*,390,*
contig_601	155302	27	Y	N	5	*	601
contig_635	149312	5	N	N	1	*	*,635,*
contig_291	146164	5	N	N	1	*	*,291,*
contig_6	145204	4	N	N	1	*	*,6,*
contig_572	144006	6	N	N	1	*	*,572,*
contig_149	138067	5	N	N	1	*	*,149,*
contig_59	126556	8	N	N	1	*	*,59,*
contig_598	118797	8	N	N	1	*	*,598,*
contig_363	115250	7	N	N	1	*	*,363,*
contig_76	114916	6	N	N	1	*	*,76,*
contig_580	113877	3	N	N	1	*	*,580,*
contig_226	111013	5	N	N	1	*	*,226,*
contig_653	102618	18	Y	N	3	*	653
contig_7	102531	10	Y	N	2	*	7
contig_610	101241	7	N	N	1	*	*,610,*
contig_288	96698	6	N	N	1	*	*,288,*
contig_148	94403	4	N	N	1	*	*,148,*
contig_57	92620	4	N	N	1	*	*,57,*
contig_311	90476	4	N	N	1	*	*,311,*
contig_54	88972	4	N	N	1	*	*,54,*
contig_611	88811	5	N	N	1	*	*,611,*
contig_621	88101	8	N	N	1	*	*,621,*
contig_630	87323	4	N	N	1	*	*,630,*
contig_641	84818	7	N	N	1	*	*,641,*
contig_16	79562	5	N	N	1	*	*,16,*
contig_64	79325	5	N	N	1	*	*,64,*
contig_484	77867	3	N	N	1	*	*,484,*
contig_597	75475	6	N	N	1	*	*,597,*
contig_21	75457	4	N	N	1	*	*,21,*
contig_100	75300	5	N	N	1	*	*,100,*
contig_606	74392	5	N	N	1	*	*,606,*
contig_440	73517	8	N	N	1	*	*,440,*
contig_566	72757	9	N	N	1	*	*,566,*
contig_240	71475	6	N	N	1	*	*,240,*
contig_589	71271	6	N	N	1	*	*,589,*
contig_69	70711	4	N	N	1	*	*,69,*
contig_30	69320	3	N	N	1	*	*,30,*
contig_570	67565	6	N	N	1	*	*,570,*
contig_31	67212	5	N	N	1	*	*,31,*
contig_66	65226	3	N	N	1	*	*,66,*
contig_74	64227	3	N	N	1	*	*,74,*
contig_20	62943	6	N	N	1	*	*,20,*
contig_373	62086	4	N	N	1	*	*,373,*
contig_335	61748	3	N	N	1	*	*,335,*
contig_3	61446	5	N	N	1	*	*,3,*
contig_61	61215	5	N	N	1	*	*,61,*
contig_48	61156	13	N	N	2	*	*,48,*
contig_244	61057	4	N	N	1	*	*,244,*
contig_316	61009	12	N	N	2	*	316,-632
contig_192	60967	5	N	N	1	*	*,192,*
contig_84	60946	5	N	N	1	*	*,84,*
contig_399	60292	3	N	N	1	*	*,399,*
contig_4	59775	3	N	N	1	*	*,4,*
contig_550	58873	3	N	N	1	*	*,550,*
contig_60	57887	7	N	N	1	*	*,60,*
contig_603	56920	8	Y	N	1	*	603
contig_19	56889	6	N	N	1	*	*,19,*
contig_217	56698	5	N	N	1	*	*,217,*
contig_437	56680	3	Y	N	1	*	437
contig_652	55811	8	Y	N	1	*	652
contig_56	55700	6	N	N	1	*	*,56,*
contig_578	54489	3	N	N	1	*	*,578,*
contig_115	54407	16	N	N	3	*	-107,115
contig_594	54398	8	N	N	1	*	*,594,*
contig_289	54005	4	N	N	1	*	*,289,*
contig_417	53766	11	Y	N	2	*	417
contig_567	53650	5	N	N	1	*	*,567,*
contig_575	53272	6	N	N	1	*	*,575,*
contig_379	52737	5	N	N	1	*	*,379,*
contig_95	52412	5	N	N	1	*	*,95,*
contig_313	52263	13	N	N	2	*	-312,313,312,632
contig_236	52054	3	N	N	1	*	*,236,*
contig_211	52005	4	N	N	1	*	*,211,*
contig_588	52004	6	N	N	1	*	*,588,*
contig_340	51701	6	N	N	1	*	*,340,*
contig_1	51699	5	N	N	1	*	*,1,*
contig_314	51697	9	N	N	2	*	632,314,*
contig_430	51676	3	N	N	1	*	*,430,*
contig_614	51392	9	N	N	1	*	*,614,102,106,103,104,-119
contig_11	51324	6	N	N	1	*	*,11,*
contig_190	50671	4	N	N	1	*	*,190,*
contig_490	50460	3	N	N	1	*	*,490,*
contig_331	50347	8	Y	N	1	*	331
contig_277	50183	4	N	N	1	*	*,277,*
contig_218	49470	4	N	N	1	*	*,218,*
contig_8	49269	5	N	N	1	*	*,8,*
contig_339	48974	3	N	N	1	*	*,339,*
contig_65	48740	5	N	N	1	*	*,65,*
contig_483	48282	5	N	N	1	*	*,483,*
contig_33	48058	6	N	N	1	*	*,33,*
contig_375	47962	5	N	N	1	*	*,375,*
contig_145	47864	11	N	N	2	*	*,145,*
contig_466	47454	4	N	N	1	*	*,466,*
contig_246	47242	5	N	N	1	*	*,246,*
contig_353	47058	3	N	N	1	*	*,353,*
contig_579	46250	5	N	N	1	*	*,579,*
contig_290	45774	5	N	N	1	*	*,290,*
contig_396	45672	3	N	N	1	*	*,396,*
contig_320	45557	5	N	N	1	*	*,320,*
contig_10	45473	3	N	N	1	*	*,10,*
contig_590	45088	6	N	N	1	*	*,590,*
contig_377	44960	10	Y	N	1	*	377
contig_264	44876	4	N	N	1	*	*,264,*
contig_194	44834	3	N	N	1	*	*,194,*
contig_592	44658	4	N	N	1	*	*,592,*
contig_146	43949	5	N	N	1	*	*,146,*
contig_25	43822	7	N	N	1	*	*,25,*
contig_645	43728	4	Y	N	1	*	645
contig_131	43646	14	N	N	2	*	*,131,*
contig_229	43579	8	N	N	1	*	*,229,*
contig_227	43113	7	N	N	1	*	*,227,*
contig_456	43053	3	N	N	1	*	*,456,*
contig_342	42741	6	N	N	1	*	*,342,*
contig_485	42647	3	N	N	1	*	*,485,*
contig_389	42582	5	N	N	1	*	*,389,*
contig_299	42562	8	N	N	1	*	*,299,434,*
contig_387	42498	3	N	N	1	*	*,387,*
contig_356	41451	6	N	N	1	*	*,356,*
contig_350	41379	5	N	N	1	*	*,350,*
contig_52	41334	7	N	N	1	*	*,52,*
contig_482	41210	4	N	N	1	*	*,482,*
contig_249	41007	5	N	N	1	*	*,249,*
contig_221	40664	6	N	N	1	*	*,221,*
contig_274	40466	4	N	N	1	*	*,274,*
